,Date,Hour,Season,Month,Normal (kWh),Horario Economico (kWh),Autoconsumo (kWh),Injeçao na rede (kWh),temp,feels_like,temp_min,temp_max,humidity,wind_speed,clouds_all,weather_description
0,2021-09-01,0,Autumn,September,0.0,0.0,0.0,None,18.74,18.84,15.72,20.34,83,1.18,78,broken clouds
1,2021-09-01,1,Autumn,September,0.0,0.0,0.0,None,18.73,18.83,15.72,20.34,83,1.46,92,overcast clouds
2,2021-09-01,2,Autumn,September,0.0,0.0,0.0,None,17.84,17.98,16.72,20.34,88,1.05,91,overcast clouds
3,2021-09-01,3,Autumn,September,0.0,0.0,0.0,None,18.27,18.4,16.68,20.34,86,0.46,94,light rain
4,2021-09-01,4,Autumn,September,0.0,0.0,0.0,None,17.81,17.97,16.12,20.34,89,0.93,95,moderate rain
5,2021-09-01,5,Autumn,September,0.0,0.0,0.0,None,17.89,18.06,16.12,17.93,89,1.1,94,light rain
6,2021-09-01,6,Autumn,September,0.0,0.0,0.0,None,18.27,18.48,16.12,18.48,89,1.21,93,light rain
7,2021-09-01,7,Autumn,September,0.0,0.0,0.0,None,19.44,19.69,16.68,19.59,86,1.27,95,heavy intensity rain
8,2021-09-01,8,Autumn,September,0.0,0.0,0.0,None,18.92,19.19,16.68,19.04,89,2.33,99,moderate rain
9,2021-09-01,9,Autumn,September,0.0,0.0,0.0,None,18.98,19.28,17.23,19.04,90,2.23,100,light rain
10,2021-09-01,10,Autumn,September,0.0,0.0,0.0,None,21.63,21.86,18.43,21.82,77,3.24,100,light rain
11,2021-09-01,11,Autumn,September,0.0,0.0,0.0,None,24.4,24.62,20.57,24.59,66,1.86,99,light rain
12,2021-09-01,12,Autumn,September,0.0,0.0,0.0,None,23.84,24.0,20.67,24.04,66,1.46,97,light rain
13,2021-09-01,13,Autumn,September,0.0,0.0,0.0,None,25.47,25.67,21.72,25.7,61,1.26,88,overcast clouds
14,2021-09-01,14,Autumn,September,0.0,0.0,0.0,None,26.97,27.7,20.72,27.37,55,0.41,96,overcast clouds
15,2021-09-01,15,Autumn,September,0.0,0.0,0.0,None,27.51,28.32,20.72,27.93,55,0.54,98,overcast clouds
16,2021-09-01,16,Autumn,September,0.0,0.0,0.0,None,26.61,26.61,22.72,26.82,64,1.18,99,light rain
17,2021-09-01,17,Autumn,September,0.0,0.0,0.0,None,23.34,23.66,22.72,23.85,74,2.01,99,overcast clouds
18,2021-09-01,18,Autumn,September,0.0,0.0,0.0,None,21.74,21.98,21.68,22.33,77,2.04,96,overcast clouds
19,2021-09-01,19,Autumn,September,0.0,0.0,0.0,None,19.96,20.13,19.72,20.67,81,1.84,98,overcast clouds
20,2021-09-01,20,Autumn,September,0.0,0.0,0.0,None,19.68,19.87,18.72,21.21,83,1.94,100,overcast clouds
21,2021-09-01,21,Autumn,September,0.0,0.0,0.0,None,20.03,20.28,18.12,20.66,84,1.18,99,overcast clouds
22,2021-09-01,22,Autumn,September,0.0,0.0,0.0,None,19.88,20.09,17.72,20.15,83,2.13,95,overcast clouds
23,2021-09-01,23,Autumn,September,0.0,0.0,0.0,None,18.03,18.29,17.57,18.44,92,1.79,96,overcast clouds
24,2021-09-02,0,Autumn,September,0.0,0.0,0.0,None,19.33,19.59,17.01,19.59,87,1.52,100,overcast clouds
25,2021-09-02,1,Autumn,September,0.0,0.0,0.0,None,18.37,18.59,17.01,18.48,89,1.44,97,overcast clouds
26,2021-09-02,2,Autumn,September,0.0,0.0,0.0,None,18.29,18.55,16.72,18.48,91,0.14,97,overcast clouds
27,2021-09-02,3,Autumn,September,0.0,0.0,0.0,None,17.81,18.05,16.68,17.93,92,1.11,95,overcast clouds
28,2021-09-02,4,Autumn,September,0.0,0.0,0.0,None,18.17,18.42,15.72,18.48,91,1.09,28,scattered clouds
